District,Department,Programme,Output class,Output,Item,Approved Budget for FY 2017/18 Total,Approved Budget Estimates for FY 2018/19 Wage,Approved Budget Estimates for FY 2018/19 Non Wage,Approved Budget Estimates for FY 2018/19 Gou Dev,Approved Budget Estimates for FY 2018/19 Donor,Approved Budget Estimates for FY 2018/19 Total
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018207 Tsetse vector control and commercial insects farm promotion ,227001 Travel inland,"1,200",0,"8,000",0,0,"8,000"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018207 Tsetse vector control and commercial insects farm promotion ,"227004 Fuel, Lubricants and Oils","1,916",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018210 Vermin Control Services,211103 Allowances,"3,710",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018210 Vermin Control Services,211104 Statutory salaries,"4,000",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018210 Vermin Control Services,221010 Special Meals and Drinks,600,0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018210 Vermin Control Services,"221011 Printing, Stationery, Photocopying and ","2,052",0,"1,343",0,0,"1,343"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018210 Vermin Control Services,221014 Bank Charges and other Bank related costs,396,0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018210 Vermin Control Services,224001 Medical and Agricultural supplies,"8,000",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018210 Vermin Control Services,"224005 Uniforms, Beddings and Protective Gear",0,0,"1,400",0,0,"1,400"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018210 Vermin Control Services,227001 Travel inland,0,0,"4,000",0,0,"4,000"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018210 Vermin Control Services,"227004 Fuel, Lubricants and Oils","2,590",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018212 District Production Management Services,211101 General Staff Salaries,0,"455,793",0,0,0,"455,793"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018212 District Production Management Services,"221011 Printing, Stationery, Photocopying and ",0,0,"2,400",0,0,"2,400"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018212 District Production Management Services,221014 Bank Charges and other Bank related costs,0,0,"1,200",0,0,"1,200"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018212 District Production Management Services,227001 Travel inland,0,0,"4,143",0,0,"4,143"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018212 District Production Management Services,"227004 Fuel, Lubricants and Oils",0,0,"6,000",0,0,"6,000"
Amudat District,Production and Marketing,0182 District Production Services,01  Higher LG Services,018212 District Production Management Services,228002 Maintenance - Vehicles,0,0,"5,000",0,0,"5,000"
Amudat District,Production and Marketing,0182 District Production Services,03  Capital Purchases,018272 Administrative Capital,312104 Other Structures,"40,000",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,03  Capital Purchases,018272 Administrative Capital,312202 Machinery and Equipment,"10,000",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,03  Capital Purchases,018272 Administrative Capital,312213 ICT Equipment,"12,500",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,312202 Machinery and Equipment,0,0,0,"39,000",0,"39,000"
Amudat District,Production and Marketing,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,312203 Furniture  Fixtures,"10,000",0,0,0,0,0
Amudat District,Production and Marketing,0182 District Production Services,03  Capital Purchases,018275 Non Standard Service Delivery Capital,314201 Materials and supplies,0,0,0,"56,639",0,"56,639"
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018301 Trade Development and Promotion Services,211103 Allowances,"1,540",0,0,0,0,0
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018301 Trade Development and Promotion Services,"221011 Printing, Stationery, Photocopying and ",150,0,0,0,0,0
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018301 Trade Development and Promotion Services,222001 Telecommunications,200,0,0,0,0,0
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018301 Trade Development and Promotion Services,227001 Travel inland,560,0,"6,000",0,0,"6,000"
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018301 Trade Development and Promotion Services,"227004 Fuel, Lubricants and Oils",850,0,0,0,0,0
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018304 Cooperatives Mobilisation and Outreach Services,211103 Allowances,"3,480",0,0,0,0,0
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018304 Cooperatives Mobilisation and Outreach Services,221010 Special Meals and Drinks,350,0,0,0,0,0
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018304 Cooperatives Mobilisation and Outreach Services,"221011 Printing, Stationery, Photocopying and ",500,0,0,0,0,0
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018304 Cooperatives Mobilisation and Outreach Services,221014 Bank Charges and other Bank related costs,540,0,0,0,0,0
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018304 Cooperatives Mobilisation and Outreach Services,227001 Travel inland,960,0,"6,000",0,0,"6,000"
Amudat District,Production and Marketing,0183 District Commercial Services,01  Higher LG Services,018304 Cooperatives Mobilisation and Outreach Services,"227004 Fuel, Lubricants and Oils","1,260",0,0,0,0,0
Amudat District,Health,0881 Primary Healthcare,01  Higher LG Services,088106 District healthcare management services,211101 General Staff Salaries,0,"778,625",0,0,0,"778,625"
Amudat District,Health,0881 Primary Healthcare,02  Lower Local Services,088153 NGO Basic Healthcare Services (LLS),263366 Sector Conditional Grant (Wage),"255,882",0,0,0,0,0
Amudat District,Health,0881 Primary Healthcare,02  Lower Local Services,088153 NGO Basic Healthcare Services (LLS),263367 Sector Conditional Grant (Non-Wage),"100,842",0,0,0,0,0
Amudat District,Health,0881 Primary Healthcare,02  Lower Local Services,088153 NGO Basic Healthcare Services (LLS),291001 Transfers to Government Institutions,0,0,"100,842",0,0,"100,842"
Amudat District,Health,0881 Primary Healthcare,02  Lower Local Services,088154 Basic Healthcare Services (HCIV-HCII-LLS),263366 Sector Conditional Grant (Wage),"243,353",0,0,0,0,0
Amudat District,Health,0881 Primary Healthcare,02  Lower Local Services,088154 Basic Healthcare Services (HCIV-HCII-LLS),263367 Sector Conditional Grant (Non-Wage),"46,687",0,0,0,0,0
Amudat District,Health,0881 Primary Healthcare,02  Lower Local Services,088154 Basic Healthcare Services (HCIV-HCII-LLS),291001 Transfers to Government Institutions,0,0,"55,415",0,0,"55,415"
Amudat District,Health,0881 Primary Healthcare,03  Capital Purchases,088172 Administrative Capital,312104 Other Structures,0,0,0,"6,526",0,"6,526"
Amudat District,Health,0881 Primary Healthcare,03  Capital Purchases,088172 Administrative Capital,312214 Laboratory Equipment,0,0,0,"5,500",0,"5,500"
Amudat District,Health,0881 Primary Healthcare,03  Capital Purchases,088182 Maternity Ward Construction and Rehabilitation,312104 Other Structures,"76,538",0,0,0,0,0
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,211103 Allowances,"4,500",0,"3,600",0,0,"3,600"
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,211104 Statutory salaries,"121,610",0,0,0,0,0
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,221009 Welfare and Entertainment,"1,200",0,0,0,0,0
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,221010 Special Meals and Drinks,"50,500",0,0,0,0,0
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,"221011 Printing, Stationery, Photocopying and ","14,100",0,"2,000",0,0,"2,000"
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,221014 Bank Charges and other Bank related costs,"1,330",0,410,0,0,410
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,222001 Telecommunications,700,0,0,0,0,0
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,224001 Medical and Agricultural supplies,"47,400",0,0,0,0,0
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,227001 Travel inland,"26,400",0,0,0,0,0
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,"227004 Fuel, Lubricants and Oils","56,292",0,"4,800",0,0,"4,800"
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088301 Healthcare Management Services,228002 Maintenance - Vehicles,"5,600",0,"4,800",0,0,"4,800"
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,211103 Allowances,"2,580",0,"1,776",0,0,"1,776"
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,"221011 Printing, Stationery, Photocopying and ","1,800",0,0,0,0,0
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,221014 Bank Charges and other Bank related costs,425,0,329,0,0,329
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,222001 Telecommunications,600,0,600,0,0,600
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,"227004 Fuel, Lubricants and Oils",0,0,"2,400",0,0,"2,400"
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,228002 Maintenance - Vehicles,"2,400",0,0,0,0,0
Amudat District,Health,0883 Health Management and Supervision,01  Higher LG Services,088302 Healthcare Services Monitoring and Inspection,"228003 Maintenance ±Machinery, Equipment  ","3,300",0,0,0,0,0
Amudat District,Health,0883 Health Management and Supervision,03  Capital Purchases,088375 Non Standard Service Delivery Capital,"281504 Monitoring, Supervision  Appraisal of ",0,0,0,0,"1,210,440","1,210,440"
Amudat District,Education,0781 Pre-Primary and Primary Education,01  Higher LG Services,078102 Primary Teaching Services,211101 General Staff Salaries,0,"766,383",0,0,0,"766,383"
Amudat District,Education,0781 Pre-Primary and Primary Education,02  Lower Local Services,078151 Primary Schools Services UPE (LLS),263366 Sector Conditional Grant (Wage),"766,383",0,0,0,0,0
Amudat District,Education,0781 Pre-Primary and Primary Education,02  Lower Local Services,078151 Primary Schools Services UPE (LLS),263367 Sector Conditional Grant (Non-Wage),"53,992",0,"60,376",0,0,"60,376"
